,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
205,CVBI11,Títulos e Val. Mob.,"R$ 99,87",37019.0,"R$ 1,12","1,10%","3,29%","6,72%","12,16%","1,10%","1,12%","1,01%","2,20%","-0,20%","0,90%","2,01%","R$ 1.052.787.214,91","R$ 100,11","1,00","1,12%","0,17%","1,29%","2,43%",N/A,N/A,0
206,RVBI11,Títulos e Val. Mob.,"R$ 76,75",3094.0,"R$ 0,75","0,95%","2,77%","5,53%","10,29%","0,92%","0,92%","0,86%","1,87%","-2,32%","-1,39%","-0,48%","R$ 125.342.584,12","R$ 87,04","0,88","0,86%","-0,78%","0,08%","0,93%",N/A,N/A,0
207,CPFF11,Híbrido,"R$ 68,50",19060.0,"R$ 0,63","0,89%","2,76%","5,02%","10,72%","0,92%","0,84%","0,89%","1,88%","-1,22%","-0,34%","0,65%","R$ 424.751.758,01","R$ 77,94","0,88","0,91%","0,00%","0,91%","0,91%",N/A,N/A,0
208,JSAF11,Títulos e Val. Mob.,"R$ 82,80",1472.0,"R$ 0,90","1,09%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,18%","0,00%","1,09%","2,19%","R$ 151.918.738,31","R$ 96,58","0,86","0,93%","-0,97%","-0,05%","0,88%",N/A,N/A,0
209,VXXV11,Outros,"R$ 852,64",7038.0,"R$ 10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 127.252.326,08","R$ 719,84","1,18",N/A,N/A,N/A,N/A,N/A,N/A,0
210,BICE11,Títulos e Val. Mob.,N/A,N/A,"R$ 5,40","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 10.120.315,68","R$ 912,48",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
211,HRDF11,Híbrido,"R$ 1,23",306.0,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 10.126.109,71","R$ 1,33","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
212,CJCT11,Lajes Corporativas,"R$ 72,99",1102.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 186.033.571,64","R$ 64,82","1,13",N/A,N/A,N/A,N/A,"59,00%",N/A,1
213,LFTT11,Residencial,"R$ 108,00",18319.0,"R$ 0,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 425.557.771,50","R$ 60,58","1,78",N/A,N/A,N/A,N/A,N/A,N/A,0
214,IRDM11,Títulos e Val. Mob.,"R$ 106,99",85419.0,"R$ 1,22","1,13%","3,44%","6,71%","12,05%","1,15%","1,12%","1,00%","2,12%","-2,26%","-1,15%","-0,18%","R$ 3.208.708.568,71","R$ 97,10","1,10","1,12%","0,00%","1,12%","1,12%",N/A,N/A,0
215,CXAG11,Outros,"R$ 77,05",1174.0,"R$ 0,75","0,99%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,99%","0,00%","0,99%","0,99%","R$ 214.367.378,45","R$ 102,54","0,75",N/A,N/A,N/A,N/A,N/A,N/A,0
216,GAME11,Híbrido,"R$ 11,44",1042.0,"R$ 1,20","1,05%","3,20%","0,00%","0,00%","1,07%","0,00%","0,00%","2,16%","5,36%","6,47%","7,65%","R$ 203.832.675,80","R$ 98,95","0,12","1,21%","0,16%","1,38%","2,61%",N/A,N/A,0
217,RBRR11,Títulos e Val. Mob.,"R$ 101,31",31181.0,"R$ 1,10","1,07%","3,22%","5,98%","10,74%","1,07%","1,00%","0,90%","2,14%","0,14%","1,21%","2,29%","R$ 1.023.024.300,27","R$ 98,73","1,03","1,11%","0,00%","1,11%","1,11%",N/A,N/A,0
218,RBRY11,Títulos e Val. Mob.,"R$ 106,00",14752.0,"R$ 1,15","1,10%","3,45%","6,38%","10,99%","1,15%","1,06%","0,92%","2,17%","-1,89%","-0,81%","0,25%","R$ 352.540.307,86","R$ 103,78","1,02","1,11%","0,00%","1,11%","1,11%",N/A,N/A,0
219,IBFF11,Títulos e Val. Mob.,"R$ 57,45",2551.0,"R$ 0,50","0,86%","2,54%","5,07%","9,09%","0,85%","0,85%","0,76%","1,71%","-1,86%","-1,01%","-0,18%","R$ 49.324.397,96","R$ 73,99","0,78","0,68%","0,00%","0,68%","0,68%",N/A,N/A,0
220,IBCR11,Títulos e Val. Mob.,"R$ 96,02",8958.0,"R$ 1,50","1,54%","4,64%","0,00%","0,00%","1,55%","0,00%","0,00%","3,09%","0,33%","1,88%","3,45%","R$ 77.771.979,92","R$ 96,86","0,99","1,55%","-0,80%","0,73%","2,28%",N/A,N/A,0
221,RBRF11,Títulos e Val. Mob.,"R$ 68,32",32515.0,"R$ 0,60","0,84%","2,48%","4,93%","9,16%","0,83%","0,82%","0,76%","1,67%","-2,04%","-1,21%","-0,40%","R$ 1.171.149.868,37","R$ 85,61","0,80","0,70%","0,00%","0,70%","0,70%",N/A,N/A,0
222,IRIM11,Híbrido,"R$ 110,18",2841.0,"R$ 1,89","1,67%","4,25%","0,00%","0,00%","1,42%","0,00%","0,00%","2,93%","1,82%","3,52%","4,82%","R$ 131.030.556,13","R$ 100,79","1,09","1,39%","0,00%","1,39%","1,39%",N/A,N/A,0
223,CPTS11,Títulos e Val. Mob.,"R$ 94,40",70378.0,"R$ 1,10","1,14%","3,40%","6,45%","12,46%","1,13%","1,07%","1,04%","2,27%","-0,92%","0,22%","1,35%","R$ 2.627.597.253,52","R$ 93,93","1,00","1,17%","0,00%","1,17%","1,17%",N/A,N/A,0
224,MGHT11,Hotel,"R$ 86,10",27.0,"R$ 0,80","0,94%","2,74%","5,20%","9,35%","0,91%","0,87%","0,78%","1,84%","-3,00%","-2,09%","-1,20%","R$ 129.541.875,37","R$ 98,60","0,87","0,81%","0,00%","0,81%","0,81%",N/A,N/A,0
225,MCHF11,Títulos e Val. Mob.,"R$ 10,09",202283.0,"R$ 0,11","1,08%","3,35%","0,00%","0,00%","1,12%","0,00%","0,00%","2,16%","0,59%","1,68%","2,78%","R$ 84.959.465,62","R$ 10,23","0,99","1,08%","0,00%","1,08%","1,08%",N/A,N/A,0
226,VGIR11,Títulos e Val. Mob.,"R$ 100,05",12402.0,"R$ 1,20","1,19%","3,19%","5,37%","9,10%","1,06%","0,90%","0,76%","2,27%","-0,81%","0,37%","1,46%","R$ 437.140.913,98","R$ 97,00","1,03","1,13%","0,00%","1,13%","1,13%",N/A,N/A,0
227,VGIP11,Outros,"R$ 99,92",21400.0,"R$ 1,20","1,19%","4,06%","8,20%","13,89%","1,35%","1,37%","1,16%","2,46%","0,02%","1,21%","2,49%","R$ 885.673.658,24","R$ 95,30","1,05","1,34%","0,00%","1,34%","1,34%",N/A,N/A,0
228,MCCI11,Títulos e Val. Mob.,"R$ 99,51",43257.0,"R$ 1,00","1,00%","2,95%","5,92%","11,09%","0,98%","0,99%","0,92%","1,98%","-1,22%","-0,24%","0,75%","R$ 1.202.207.530,32","R$ 96,82","1,03","1,03%","0,00%","1,03%","1,03%",N/A,N/A,0
229,VGIA11,Títulos e Val. Mob.,"R$ 10,25",16483.0,"R$ 0,14","1,34%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,56%","-1,23%","0,09%","1,32%","R$ 95.678.226,98","R$ 9,51","1,08","1,37%","0,00%","1,37%","1,37%",N/A,N/A,0
230,TRNT11,Lajes Corporativas,"R$ 110,00",36.0,"R$ 0,39","0,35%","1,25%","2,16%","3,90%","0,42%","0,36%","0,32%","0,70%","1,92%","2,28%","2,63%","R$ 796.690.441,59","R$ 202,43","0,54","0,18%","0,00%","0,18%","0,18%","50,90%",N/A,1
231,HCRI11,Hospital,"R$ 268,20",182.0,"R$ 2,49","0,88%","2,36%","4,77%","9,33%","0,79%","0,80%","0,78%","1,62%","-18,08%","-17,35%","-16,74%","R$ 51.803.192,81","R$ 259,02","1,04","0,83%","0,00%","0,83%","0,83%","0,00%",N/A,1
232,BRLA11,Híbrido,"R$ 149,00",3692.0,"R$ 0,98","0,66%","2,02%","3,34%","3,34%","0,67%","0,56%","0,28%","1,32%","-1,33%","-0,68%","-0,03%","R$ 270.163.925,60","R$ 159,91","0,93","0,61%","0,00%","0,61%","0,61%",N/A,N/A,0
233,GCRI11,Títulos e Val. Mob.,"R$ 96,25",1005.0,"R$ 1,40","1,42%","4,03%","7,23%","0,00%","1,34%","1,21%","0,00%","2,64%","-0,16%","1,26%","2,49%","R$ 99.402.617,61","R$ 99,37","0,97","1,21%","0,00%","1,21%","1,21%",N/A,N/A,0
234,GCFF11,Títulos e Val. Mob.,"R$ 73,20",499.0,"R$ 0,75","1,01%","2,98%","5,70%","10,94%","0,99%","0,95%","0,91%","1,94%","-7,42%","-6,48%","-5,61%","R$ 30.849.715,41","R$ 91,11","0,80","0,82%","0,00%","0,82%","0,82%",N/A,N/A,0
235,MGCR11,Títulos e Val. Mob.,"R$ 85,65",1876.0,"R$ 1,00","1,16%","3,43%","6,41%","11,52%","1,14%","1,07%","0,96%","2,29%","-1,96%","-0,83%","0,30%","R$ 135.220.897,17","R$ 95,07","0,90","1,05%","0,00%","1,05%","1,05%",N/A,N/A,0
236,MORE11,Títulos e Val. Mob.,"R$ 71,70",8083.0,"R$ 0,70","0,94%","2,78%","5,39%","9,77%","0,93%","0,90%","0,81%","1,86%","-2,78%","-1,86%","-0,96%","R$ 207.536.642,14","R$ 89,49","0,80","0,78%","0,00%","0,78%","0,78%",N/A,N/A,0
237,BLCP11,Outros,"R$ 83,00",125.0,"R$ 0,51","0,61%","1,87%","3,05%","6,73%","0,62%","0,51%","0,56%","1,25%","3,69%","4,32%","4,99%","R$ 225.890.090,43","R$ 98,37","0,84","0,52%","0,00%","0,52%","0,52%","7,90%",N/A,2
238,NAVT11,Títulos e Val. Mob.,"R$ 72,17",1465.0,"R$ 0,75","1,04%","2,87%","5,37%","0,00%","0,96%","0,90%","0,00%","2,07%","-0,98%","0,05%","1,09%","R$ 95.922.268,24","R$ 90,96","0,79","0,82%","0,00%","0,82%","0,82%",N/A,N/A,0
239,DRIT11B,Lajes Corporativas,"R$ 87,00",14.0,"R$ 0,33","0,28%","0,80%","0,00%","0,00%","0,27%","0,00%","0,00%","1,28%","5,78%","6,07%","-7,42%","R$ 58.245.835,32","R$ 125,73","0,69",N/A,N/A,N/A,N/A,"10,47%",N/A,6
240,CTXT11,Lajes Corporativas,"R$ 21,71",410.0,"R$ 0,09","0,39%","0,78%","1,36%","5,53%","0,26%","0,23%","0,46%","1,36%","-2,58%","-2,20%","-39,31%","R$ 118.462.423,71","R$ 40,81","0,53",N/A,N/A,N/A,N/A,"97,00%",N/A,1
241,GESE11B,Outros,"R$ 1.520,00",300.0,"R$ 12,60","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 85.824.028,11","R$ 1.650,46","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
242,XPIN11,Outros,"R$ 83,48",5446.0,"R$ 0,63","0,74%","2,11%","4,18%","7,76%","0,70%","0,70%","0,65%","0,74%","0,00%","0,74%","0,74%","R$ 781.411.670,94","R$ 109,28","0,76","0,56%","-0,44%","0,11%","0,69%","17,30%","12,00%",5
243,SRVD11,Títulos e Val. Mob.,"R$ 9,02",6.0,"R$ 0,10","1,01%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,01%","0,00%","1,01%","1,01%","R$ 114.261.426,47","R$ 1,19","7,60",N/A,N/A,N/A,N/A,N/A,N/A,0
244,SNFF11,Títulos e Val. Mob.,"R$ 80,51",5976.0,"R$ 0,65","0,79%","2,24%","4,45%","0,00%","0,75%","0,74%","0,00%","1,53%","-7,03%","-6,29%","-5,60%","R$ 230.710.296,21","R$ 92,28","0,87","0,70%","0,00%","0,70%","0,70%",N/A,N/A,0
245,SNCI11,Títulos e Val. Mob.,"R$ 101,69",24330.0,"R$ 1,40","1,35%","3,84%","0,00%","0,00%","1,28%","0,00%","0,00%","2,69%","-0,57%","0,77%","2,12%","R$ 165.067.815,78","R$ 98,95","1,03","1,41%","-0,27%","1,14%","2,57%",N/A,N/A,0
246,AFHI11,Títulos e Val. Mob.,"R$ 100,68",5029.0,"R$ 1,30","1,27%","3,83%","7,43%","0,00%","1,28%","1,24%","0,00%","2,54%","-0,10%","1,17%","2,46%","R$ 173.063.751,55","R$ 96,81","1,04","1,34%","0,00%","1,34%","1,34%",N/A,N/A,0
247,OULG11,Outros,"R$ 45,60",1063.0,"R$ 0,17","0,38%","1,67%","4,37%","8,69%","0,56%","0,73%","0,72%","0,73%","-4,82%","-4,46%","-4,12%","R$ 183.004.418,34","R$ 73,75","0,62","0,23%","-0,08%","0,15%","0,38%","0,00%",N/A,2
248,OUFF11,Títulos e Val. Mob.,"R$ 63,10",5875.0,"R$ 0,68","1,04%","3,01%","5,84%","10,82%","1,00%","0,97%","0,90%","2,08%","0,08%","1,11%","2,16%","R$ 142.270.680,02","R$ 78,41","0,80","0,87%","-1,60%","-0,75%","0,10%",N/A,N/A,0
249,OURE11,Títulos e Val. Mob.,"R$ 81,00",1672.0,"R$ 0,80","0,97%","3,17%","6,99%","12,42%","1,06%","1,17%","1,04%","1,84%","-4,57%","-3,64%","-2,80%","R$ 99.122.277,31","R$ 92,03","0,88","0,87%","-0,46%","0,41%","1,22%",N/A,N/A,0
250,RBIR11,Residencial,"R$ 70,00",501.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 147.007.247,60","R$ 96,17","0,73",N/A,N/A,N/A,N/A,N/A,N/A,0
251,CARE11,Híbrido,"R$ 2,75",11701.0,"R$ 0,00","0,23%","0,66%","1,36%","1,60%","0,22%","0,23%","0,13%","1,36%","-2,63%","-2,41%","5,65%","R$ 284.526.894,35","R$ 7,95","0,35",N/A,N/A,N/A,N/A,N/A,N/A,0
252,AFOF11,Títulos e Val. Mob.,"R$ 93,10",478.0,"R$ 1,00","1,07%","3,11%","6,25%","0,00%","1,04%","1,04%","0,00%","2,14%","3,50%","4,61%","5,72%","R$ 69.843.469,38","R$ 101,05","0,92","0,99%","1,26%","2,26%","3,24%",N/A,N/A,0
253,RECX11,Outros,"R$ 84,84",16.0,"R$ 1,00","1,15%","3,34%","6,43%","0,00%","1,11%","1,07%","0,00%","2,21%","-8,71%","-7,66%","-6,68%","R$ 19.208.298,22","R$ 87,99","0,96","1,14%","0,00%","1,14%","1,14%",N/A,N/A,0
254,BTLG11,Logística,"R$ 103,90",29448.0,"R$ 0,72","0,70%","2,08%","4,15%","7,92%","0,69%","0,69%","0,66%","1,40%","0,77%","1,48%","2,19%","R$ 1.508.161.155,35","R$ 99,03","1,05","0,73%","0,00%","0,73%","0,73%",N/A,"2,00%",16
255,BLMC11,Outros,"R$ 98,47",9.0,"R$ 1,10","1,12%","3,36%","6,68%","9,98%","1,12%","1,11%","0,83%","2,24%","0,26%","1,38%","2,52%","R$ 38.715.880,93","R$ 96,91","1,02","1,14%","-3,64%","-2,55%","-1,48%",N/A,N/A,0
256,CORM11,Híbrido,"R$ 95,45",2006.0,"R$ 0,81","0,85%","2,75%","5,87%","0,00%","0,92%","0,98%","0,00%","1,71%","0,00%","0,85%","1,71%","R$ 87.421.299,18","R$ 95,30","1,00","0,85%","0,00%","0,85%","0,85%",N/A,N/A,0
257,ARCT11,Híbrido,"R$ 109,99",12060.0,"R$ 1,65","1,50%","4,45%","8,67%","14,61%","1,48%","1,45%","1,22%","2,87%","0,33%","1,84%","3,23%","R$ 287.765.894,46","R$ 99,96","1,10","1,50%","0,00%","1,50%","1,50%",N/A,N/A,4
258,RZAK11,Títulos e Val. Mob.,"R$ 93,46",7307.0,"R$ 1,30","1,39%","4,15%","7,46%","11,97%","1,38%","1,24%","1,00%","2,76%","-2,04%","-0,67%","0,68%","R$ 281.838.303,05","R$ 93,89","1,00","1,38%","0,00%","1,38%","1,38%",N/A,N/A,0
259,MATV11,Títulos e Val. Mob.,"R$ 98,00",1174.0,"R$ 1,30","1,33%","3,66%","0,00%","0,00%","1,22%","0,00%","0,00%","2,45%","0,01%","1,34%","2,47%","R$ 33.908.738,45","R$ 97,64","1,00","1,13%","0,00%","1,13%","1,13%",N/A,N/A,0
260,MCHY11,Títulos e Val. Mob.,"R$ 115,89",45438.0,"R$ 1,30","1,18%","3,44%","6,79%","0,00%","1,15%","1,13%","0,00%","2,35%","-0,90%","0,27%","1,44%","R$ 361.739.642,10","R$ 102,27","1,13","1,27%","0,00%","1,27%","1,27%",N/A,N/A,0
261,ERCR11,Híbrido,"R$ 76.000,00",1.0,"R$ 684,38","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 169.526.970,92","R$ 71.349,74","1,07","1,37%","-0,47%","0,89%","0,90%",N/A,N/A,0
262,CCRF11,Títulos e Val. Mob.,"R$ 99,13",177.0,"R$ 1,35","1,35%","3,73%","0,00%","0,00%","1,24%","0,00%","0,00%","1,35%","0,00%","1,35%","1,35%","R$ 157.222.002,74","R$ 100,02","0,99","1,05%","-0,16%","0,89%","2,25%",N/A,N/A,0
263,EQIR11,Títulos e Val. Mob.,"R$ 99,80",59.0,"R$ 1,05","1,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,07%","0,00%","1,07%","1,07%","R$ 51.073.367,48","R$ 101,64","0,98","1,03%","0,00%","1,03%","1,03%",N/A,N/A,0
264,CNES11,Lajes Corporativas,"R$ 33,34",283.0,"R$ 0,13","0,39%","1,19%","2,14%","3,39%","0,40%","0,36%","0,28%","0,39%","0,00%","0,39%","0,39%","R$ 255.388.232,33","R$ 86,59","0,39","0,15%","0,00%","0,15%","0,15%","56,70%",N/A,1
265,MORC11,Títulos e Val. Mob.,"R$ 100,19",3639.0,"R$ 1,11","1,11%","3,61%","0,00%","0,00%","1,20%","0,00%","0,00%","1,11%","0,00%","1,11%","1,11%","R$ 78.646.991,18","R$ 100,84","0,99","1,10%","0,00%","1,10%","1,10%",N/A,N/A,0
266,BTAL11,Outros,"R$ 97,10",8728.0,"R$ 0,80","0,85%","2,56%","5,10%","0,00%","0,85%","0,85%","0,00%","0,85%","0,00%","0,85%","0,85%","R$ 617.128.957,81","R$ 103,15","0,94","0,78%","0,00%","0,78%","0,78%",N/A,N/A,7
267,VJFD11,Híbrido,N/A,N/A,"R$ 0,86","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 650.064.545,92","R$ 133,32",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
268,WTSP11B,Híbrido,"R$ 43,88",1.0,"R$ 0,48","1,01%","2,53%","4,46%","6,33%","0,84%","0,74%","0,53%","6,10%","-4,02%","-3,05%","-3,60%","R$ 77.799.824,27","R$ 78,38","0,56","0,40%","3,55%","3,97%","3,97%",N/A,N/A,0
269,FLRP11,Shoppings,"R$ 1.210,00",12.0,"R$ 8,00","0,67%","1,91%","3,38%","5,62%","0,64%","0,56%","0,47%","0,67%","0,00%","0,67%","0,67%","R$ 112.198.420,79","R$ 1.719,99","0,70","0,47%","0,00%","0,47%","0,47%","2,01%",N/A,1
270,XPML11,Shoppings,"R$ 90,27",19362.0,"R$ 0,60","0,64%","2,12%","3,78%","5,91%","0,71%","0,63%","0,49%","0,64%","0,00%","0,64%","0,64%","R$ 1.900.952.211,41","R$ 101,76","0,89","0,59%","0,00%","0,59%","0,59%","4,00%",N/A,13
271,ALZR11,Logística,"R$ 109,80",11569.0,"R$ 0,73","0,62%","1,88%","3,61%","6,77%","0,63%","0,60%","0,56%","0,62%","0,00%","0,62%","0,62%","R$ 642.593.457,02","R$ 108,51","1,01","0,67%","0,00%","0,67%","0,67%","0,00%",N/A,15
272,BPML11,Shoppings,"R$ 66,00",98.0,"R$ 0,40","0,61%","1,51%","0,00%","0,00%","0,50%","0,00%","0,00%","3,71%","-8,92%","-8,36%","-10,41%","R$ 576.793.099,42","R$ 133,98","0,49","0,26%","0,00%","0,26%","0,26%","5,80%",N/A,7
273,BTRA11,Outros,"R$ 100,46",10477.0,"R$ 0,90","0,92%","2,81%","4,99%","0,00%","0,94%","0,83%","0,00%","0,92%","0,00%","0,92%","0,92%","R$ 347.617.328,85","R$ 103,32","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
274,EDGA11,Lajes Corporativas,"R$ 19,40",1878.0,"R$ 0,11","0,49%","1,29%","2,71%","6,04%","0,43%","0,45%","0,50%","0,49%","0,00%","0,49%","0,49%","R$ 252.515.454,02","R$ 66,24","0,29","0,16%","0,00%","0,16%","0,16%","48,81%",N/A,1
275,FCFL11,Outros,"R$ 110,00",5715.0,"R$ 0,83","0,72%","2,20%","4,30%","7,84%","0,73%","0,72%","0,65%","0,72%","0,00%","0,72%","0,72%","R$ 363.944.321,16","R$ 104,76","1,05","0,79%","0,00%","0,79%","0,79%","0,00%",N/A,1
276,RBGS11,Shoppings,"R$ 28,45",5157.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78","0,31","0,18%","0,00%","0,18%","1,17%","13,00%",N/A,1
